run_id,train_size,seed,image_id,tp,fp,fn,precision_standard,recall_standard,f1_standard,precision_legacy,recall_legacy,f1_legacy,result_image
levelA_M3_fixedparam,0,0,330,11771,178629,0,0.0618224790,1.0000000000,0.1164459789,0.0618224790,0.9999150527,0.1164454029,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00330.png
levelA_M3_fixedparam,0,0,331,13296,175623,0,0.0703793689,1.0000000000,0.1315035977,0.0703793689,0.9999247951,0.1315029473,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00331.png
levelA_M3_fixedparam,0,0,332,13143,174098,0,0.0701929599,1.0000000000,0.1311781380,0.0701929599,0.9999239197,0.1311774833,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00332.png
levelA_M3_fixedparam,0,0,333,682,199630,0,0.0034046887,1.0000000000,0.0067862722,0.0034046887,0.9985358712,0.0067862385,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00333.png
levelA_M3_fixedparam,0,0,334,10837,178674,0,0.0571840157,1.0000000000,0.1081817637,0.0571840157,0.9999077321,0.1081812238,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00334.png
levelA_M3_fixedparam,0,0,335,13272,178221,0,0.0693080165,1.0000000000,0.1296315288,0.0693080165,0.9999246591,0.1296308958,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00335.png
levelA_M3_fixedparam,0,0,336,4131,195037,0,0.0207412837,1.0000000000,0.0406396490,0.0207412837,0.9997579864,0.0406394491,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00336.png
levelA_M3_fixedparam,0,0,337,5615,193286,0,0.0282301245,1.0000000000,0.0549101293,0.0282301245,0.9998219373,0.0549098608,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00337.png
levelA_M3_fixedparam,0,0,338,8803,189743,0,0.0443373324,1.0000000000,0.0849099827,0.0443373324,0.9998864153,0.0849095732,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00338.png
levelA_M3_fixedparam,0,0,339,3994,195543,0,0.0200163378,1.0000000000,0.0392470926,0.0200163378,0.9997496871,0.0392468998,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00339.png
levelA_M3_fixedparam,0,0,340,9623,188015,0,0.0486900292,1.0000000000,0.0928587626,0.0486900292,0.9998960931,0.0928583146,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00340.png
levelA_M3_fixedparam,0,0,341,7405,190234,0,0.0374673015,1.0000000000,0.0722283998,0.0374673015,0.9998649743,0.0722280475,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00341.png
levelA_M3_fixedparam,0,0,342,3480,196473,0,0.0174040900,1.0000000000,0.0342127383,0.0174040900,0.9997127262,0.0342125702,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00342.png
levelA_M3_fixedparam,0,0,343,13495,184569,0,0.0681345424,1.0000000000,0.1275767044,0.0681345424,0.9999259040,0.1275761013,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00343.png
levelA_M3_fixedparam,0,0,344,10770,186709,0,0.0545374445,1.0000000000,0.1034338700,0.0545374445,0.9999071581,0.1034333733,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00344.png
levelA_M3_fixedparam,0,0,345,4852,194476,0,0.0243417884,1.0000000000,0.0475266921,0.0243417884,0.9997939419,0.0475264594,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00345.png
levelA_M3_fixedparam,0,0,346,9145,189220,0,0.0461018829,1.0000000000,0.0881403306,0.0461018829,0.9998906626,0.0881399058,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00346.png
levelA_M3_fixedparam,0,0,347,4122,193759,0,0.0208307013,1.0000000000,0.0408112751,0.0208307013,0.9997574582,0.0408110730,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00347.png
levelA_M3_fixedparam,0,0,348,8492,188484,0,0.0431118512,1.0000000000,0.0826600736,0.0431118512,0.9998822560,0.0826596713,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00348.png
levelA_M3_fixedparam,0,0,349,7948,189581,0,0.0402371297,1.0000000000,0.0773614565,0.0402371297,0.9998741980,0.0773610800,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00349.png
levelA_M3_fixedparam,0,0,350,1181,197723,0,0.0059375377,1.0000000000,0.0118049829,0.0059375377,0.9991539763,0.0118049239,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00350.png
levelA_M3_fixedparam,0,0,351,3377,195440,0,0.0169854690,1.0000000000,0.0334035629,0.0169854690,0.9997039668,0.0334033977,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00351.png
levelA_M3_fixedparam,0,0,352,1269,198862,0,0.0063408467,1.0000000000,0.0126017875,0.0063408467,0.9992125984,0.0126017249,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00352.png
levelA_M3_fixedparam,0,0,353,1590,197489,0,0.0079867791,1.0000000000,0.0158469918,0.0079867791,0.9993714645,0.0158469128,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00353.png
levelA_M3_fixedparam,0,0,354,1448,197836,0,0.0072660123,1.0000000000,0.0144271965,0.0072660123,0.9993098689,0.0144271246,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00354.png
levelA_M3_fixedparam,0,0,355,3919,193911,0,0.0198099378,1.0000000000,0.0388502545,0.0198099378,0.9997448980,0.0388500620,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00355.png
levelA_M3_fixedparam,0,0,356,3634,195231,0,0.0182737033,1.0000000000,0.0358915353,0.0182737033,0.9997248968,0.0358913580,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00356.png
levelA_M3_fixedparam,0,0,357,1097,198377,0,0.0054994636,1.0000000000,0.0109387698,0.0054994636,0.9990892532,0.0109387153,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00357.png
levelA_M3_fixedparam,0,0,358,889,198725,0,0.0044535954,1.0000000000,0.0088676977,0.0044535954,0.9988764045,0.0088676535,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00358.png
levelA_M3_fixedparam,0,0,359,1600,197900,0,0.0080200501,1.0000000000,0.0159124814,0.0080200501,0.9993753904,0.0159124022,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00359.png
levelA_M3_fixedparam,0,0,360,1175,198112,0,0.0058960193,1.0000000000,0.0117229201,0.0058960193,0.9991496599,0.0117228616,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00360.png
levelA_M3_fixedparam,0,0,361,2415,195779,0,0.0121850308,1.0000000000,0.0240766865,0.0121850308,0.9995860927,0.0240765665,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00361.png
levelA_M3_fixedparam,0,0,362,10021,188331,0,0.0505212955,1.0000000000,0.0961832867,0.0505212955,0.9999002195,0.0961828251,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00362.png
levelA_M3_fixedparam,0,0,363,3664,194612,0,0.0184792915,1.0000000000,0.0362880063,0.0184792915,0.9997271487,0.0362878266,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00363.png
levelA_M3_fixedparam,0,0,364,7062,191094,0,0.0356385878,1.0000000000,0.0688243721,0.0356385878,0.9998584171,0.0688240368,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M3_fixedparam_primary200_crack_00364.png
