run_id,train_size,seed,image_id,tp,fp,fn,precision_standard,recall_standard,f1_standard,precision_legacy,recall_legacy,f1_legacy,result_image
baseline_B2_sobel_xy_threshold_morph_cc,0,0,300,2843,59269,8602,0.0457721535,0.2484054172,0.0773005968,0.0457721535,0.2484054172,0.0773005968,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00300.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,301,1877,68301,9669,0.0267462738,0.1625671228,0.0459350986,0.0267462738,0.1625671228,0.0459350986,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00301.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,302,5927,66885,11893,0.0814014173,0.3326038159,0.1307926560,0.0814014173,0.3326038159,0.1307926560,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00302.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,303,2741,70680,6272,0.0373326432,0.3041162765,0.0665016862,0.0373326432,0.3041162765,0.0665016862,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00303.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,304,3594,63412,8725,0.0536369877,0.2917444598,0.0906145604,0.0536369877,0.2917444598,0.0906145604,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00304.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,305,4531,74545,3318,0.0572993070,0.5772709899,0.1042507909,0.0572993070,0.5772709899,0.1042507909,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00305.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,306,4036,37589,11229,0.0969609610,0.2643956764,0.1418878538,0.0969609610,0.2643956764,0.1418878538,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00306.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,307,336,47806,8534,0.0069793527,0.0378804961,0.0117869922,0.0069793527,0.0378804961,0.0117869922,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00307.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,308,3990,82512,6139,0.0461261011,0.3939184520,0.0825821941,0.0461261011,0.3939184520,0.0825821941,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00308.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,309,742,91793,3827,0.0080185876,0.1623987743,0.0152825836,0.0080185876,0.1623987743,0.0152825836,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00309.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,310,5847,63535,7209,0.0842725779,0.4478400735,0.1418520585,0.0842725779,0.4478400735,0.1418520585,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00310.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,311,2017,51023,7041,0.0380279035,0.2226760874,0.0649618345,0.0380279035,0.2226760874,0.0649618345,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00311.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,312,418,67346,2922,0.0061684670,0.1251497006,0.0117574257,0.0061684670,0.1251497006,0.0117574257,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00312.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,313,2225,64417,3401,0.0333873533,0.3954852471,0.0615763547,0.0333873533,0.3954852471,0.0615763547,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00313.png
