run_id,train_size,seed,test_size,test_standard_simple_sum,test_standard_mean_f1,test_standard_std_f1,test_standard_min_f1,test_standard_max_f1,test_legacy_simple_sum,test_legacy_mean_f1,test_legacy_std_f1,test_legacy_min_f1,test_legacy_max_f1,elapsed_sec,tree_file
baseline_B0_gaussian_threshold,0,0,200,39.7454735573,0.1987273678,0.1390668880,0.0165035061,0.6517882965,39.7454735573,0.1987273678,0.1390668880,0.0165035061,0.6517882965,0.5065109000,./imgs_0710_2026_v1/input/test/baseline_tree_frozen/baseline_B0_gaussian_threshold_printed_tree_sys.txt
baseline_B1_canny_morph_cc,0,0,200,6.0889830072,0.0304449150,0.0423638178,0.0000000000,0.2408639634,6.0901631435,0.0304508157,0.0423595934,0.0000180595,0.2408639634,0.7031758000,./imgs_0710_2026_v1/input/test/baseline_tree_frozen/baseline_B1_canny_morph_cc_printed_tree_sys.txt
baseline_B2_sobel_xy_threshold_morph_cc,0,0,200,6.0568209508,0.0302841048,0.0383055270,0.0000000000,0.2275504277,6.0572302567,0.0302861513,0.0383039114,0.0000197404,0.2275504277,0.7408035000,./imgs_0710_2026_v1/input/test/baseline_tree_frozen/baseline_B2_sobel_xy_threshold_morph_cc_printed_tree_sys.txt
baseline_B3_median_threshold_opening_cc,0,0,200,9.6433159206,0.0482165796,0.0418631104,0.0061102846,0.2067777404,9.6432741038,0.0482163705,0.0418629100,0.0061102541,0.2067767879,1.5912011000,./imgs_0710_2026_v1/input/test/baseline_tree_frozen/baseline_B3_median_threshold_opening_cc_printed_tree_sys.txt
