run_id,train_size,seed,test_size,test_standard_simple_sum,test_standard_mean_f1,test_standard_std_f1,test_standard_min_f1,test_standard_max_f1,test_legacy_simple_sum,test_legacy_mean_f1,test_legacy_std_f1,test_legacy_min_f1,test_legacy_max_f1,elapsed_sec,tree_file
levelA_M0_fixedparam,0,0,20,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0165734019,0.0008286701,0.0006022734,0.0001271779,0.0018399264,0.0325858000,./imgs_0710_2026_v1/input/test/levelA_fixedparam_tree/levelA_M0_fixedparam_printed_tree_sys.txt
levelA_M1_fixedparam,0,0,20,1.4300918404,0.0715045920,0.1053905020,0.0009317444,0.3235191435,1.4300917756,0.0715045888,0.1053905038,0.0009317444,0.3235191435,0.0579134000,./imgs_0710_2026_v1/input/test/levelA_fixedparam_tree/levelA_M1_fixedparam_printed_tree_sys.txt
levelA_M2_fixedparam,0,0,20,0.2105067302,0.0105253365,0.0141072010,0.0000000000,0.0418503744,0.2242017518,0.0112100876,0.0136035571,0.0002735604,0.0418474458,0.0467657000,./imgs_0710_2026_v1/input/test/levelA_fixedparam_tree/levelA_M2_fixedparam_printed_tree_sys.txt
levelA_M3_fixedparam,0,0,20,1.0368564255,0.0518428213,0.0453826255,0.0108681485,0.1481429137,1.0368514174,0.0518425709,0.0453824116,0.0108680940,0.1481422158,0.1300241000,./imgs_0710_2026_v1/input/test/levelA_fixedparam_tree/levelA_M3_fixedparam_printed_tree_sys.txt
